PLAYER,TEAM,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,eFG%
Devon Dotson,WAS,5,1,4,50,0,0,3,0.0,0,0,-,0.0
Devonte' Graham,NOP,30,18,12,448,35,13,41,31.7,9,32,28.1,42.7
Dewayne Dedmon,MIA,25,15,10,306,15,7,11,63.6,1,1,100,68.2
Dillon Brooks,MEM,26,17,9,807,110,46,143,32.2,18,66,27.3,38.5
Domantas Sabonis,SAC,29,16,13,969,6,3,6,50.0,0,1,0.0,50.0
Dominick Barlow,SAS,4,0,4,26,2,1,1,100,0,0,-,100
Donovan Mitchell,CLE,28,19,9,1019,323,127,271,46.9,69,150,46.0,59.6
Donte DiVincenzo,GSW,23,13,10,472,18,7,19,36.8,4,14,28.6,47.4
Dorian Finney-Smith,DAL,31,15,16,981,3,1,8,12.5,1,5,20.0,18.8
Doug McDermott,SAS,26,10,16,544,44,19,45,42.2,6,21,28.6,48.9
Draymond Green,GSW,27,15,12,837,2,1,3,33.3,0,0,-,33.3
Drew Eubanks,POR,29,15,14,514,4,2,2,100,0,0,-,100
Dru Smith,MIA,5,4,1,67,2,1,3,33.3,0,0,-,33.3
Duane Washington Jr.,PHX,15,12,3,135,27,12,28,42.9,3,12,25.0,48.2
Duncan Robinson,MIA,22,10,12,389,36,14,38,36.8,8,25,32.0,47.4
Dwight Powell,DAL,26,14,12,438,0,0,1,0.0,0,0,-,0.0
Dyson Daniels,NOP,22,14,8,441,11,4,11,36.4,3,7,42.9,50.0
Edmond Sumner,BKN,26,17,9,394,18,8,20,40.0,2,6,33.3,45.0
Eric Gordon,HOU,26,8,18,767,53,19,54,35.2,15,42,35.7,49.1
Eugene Omoruyi,OKC,14,4,10,189,0,0,1,0.0,0,1,0.0,0.0
Evan Fournier,NYK,13,6,7,260,41,16,43,37.2,9,27,33.3,47.7
Evan Mobley,CLE,32,21,11,1098,34,17,42,40.5,0,0,-,40.5
Facundo Campazzo,DAL,8,2,6,52,3,1,5,20.0,1,5,20.0,30.0
Frank Kaminsky,ATL,13,5,8,109,0,0,0,-,0,0,-,-
Frank Ntilikina,DAL,13,5,8,170,4,2,8,25.0,0,5,0.0,25.0
Franz Wagner,ORL,32,11,21,1072,94,38,125,30.4,18,71,25.4,37.6
Fred VanVleet,TOR,25,10,15,925,174,69,185,37.3,36,110,32.7,47.0
Furkan Korkmaz,PHI,16,10,6,200,15,6,16,37.5,3,9,33.3,46.9
Gabe Vincent,MIA,19,9,10,472,58,23,58,39.7,12,32,37.5,50.0
Garrett Temple,NOP,10,7,3,76,0,0,4,0.0,0,2,0.0,0.0
Garrison Mathews,HOU,24,8,16,320,12,4,11,36.4,4,10,40.0,54.5
Gary Harris,ORL,6,1,5,155,9,3,7,42.9,3,4,75.0,64.3
Gary Trent Jr.,TOR,25,11,14,783,119,53,145,36.6,13,55,23.6,41.0
George Hill,MIL,29,21,8,572,24,11,30,36.7,2,15,13.3,40.0
Georges Niang,PHI,27,16,11,526,8,3,15,20.0,2,12,16.7,26.7
Giannis Antetokounmpo,MIL,25,18,7,820,90,40,132,30.3,10,46,21.7,34.1
Goga Bitadze,IND,16,7,9,158,3,1,1,100,1,1,100,150.0
Goran Dragic,CHI,28,10,18,473,54,25,71,35.2,4,23,17.4,38.0
Gordon Hayward,CHA,14,5,9,455,58,27,73,37.0,4,11,36.4,39.7
Gorgui Dieng,SAS,12,2,10,141,7,3,11,27.3,1,8,12.5,31.8
Grant Williams,BOS,30,22,8,859,44,16,32,50.0,12,23,52.2,68.8
Grayson Allen,MIL,27,20,7,733,17,6,26,23.1,5,21,23.8,32.7
Greg Brown III,POR,9,5,4,66,0,0,1,0.0,0,1,0.0,0.0
Hamidou Diallo,DET,25,5,20,379,14,7,20,35.0,0,1,0.0,35.0
Harrison Barnes,SAC,29,16,13,911,20,9,32,28.1,2,13,15.4,31.3
Haywood Highsmith,MIA,20,10,10,379,3,1,7,14.3,1,2,50.0,21.4
Herbert Jones,NOP,21,11,10,582,3,1,5,20.0,1,1,100,30.0
Immanuel Quickley,NYK,30,17,13,710,104,41,124,33.1,22,69,31.9,41.9
Isaac Okoro,CLE,32,21,11,599,3,1,4,25.0,1,2,50.0,37.5
Isaiah Hartenstein,NYK,30,17,13,610,6,3,7,42.9,0,0,-,42.9
Isaiah Jackson,IND,27,13,14,436,8,4,7,57.1,0,1,0.0,57.1
Isaiah Joe,OKC,24,11,13,279,44,17,36,47.2,10,23,43.5,61.1
Isaiah Livers,DET,22,5,17,430,14,6,16,37.5,2,6,33.3,43.8
Isaiah Mobley,CLE,8,5,3,26,0,0,1,0.0,0,0,-,0.0
Isaiah Roby,SAS,25,8,17,299,15,6,16,37.5,3,8,37.5,46.9
Isaiah Stewart,DET,25,6,19,701,2,1,6,16.7,0,5,0.0,16.7
Isaiah Todd,WAS,4,2,2,13,0,0,0,-,0,0,-,-
Ish Smith,DEN,12,6,6,124,16,8,25,32.0,0,2,0.0,32.0
Ish Wainright,PHX,14,10,4,173,9,3,3,100,3,3,100,150.0
Ivica Zubac,LAC,30,17,13,886,0,0,1,0.0,0,0,-,0.0
JD Davison,BOS,3,3,0,8,0,0,1,0.0,0,0,-,0.0
JT Thor,CHA,20,4,16,197,0,0,4,0.0,0,1,0.0,0.0
Ja Morant,MEM,24,17,7,769,159,66,181,36.5,27,80,33.8,43.9
JaMychal Green,GSW,28,13,15,417,0,0,1,0.0,0,1,0.0,0.0
JaVale McGee,DAL,20,9,11,180,0,0,2,0.0,0,1,0.0,0.0
Jabari Smith Jr.,HOU,29,9,20,880,75,31,80,38.8,13,28,46.4,46.9
Jabari Walker,POR,17,10,7,131,0,0,2,0.0,0,0,-,0.0
Jack White,DEN,8,6,2,26,0,0,0,-,0,0,-,-
Jaden Hardy,DAL,9,4,5,64,2,1,10,10.0,0,3,0.0,10.0
Jaden Ivey,DET,28,8,20,844,73,29,103,28.2,15,58,25.9,35.4
Jaden McDaniels,MIN,28,15,13,849,26,12,35,34.3,2,7,28.6,37.1
Jaden Springer,PHI,4,4,0,11,0,0,1,0.0,-,-,-,0.0
Jae'Sean Tate,HOU,3,0,3,68,3,1,2,50.0,1,1,100,75.0
Jake LaRavia,MEM,18,13,5,312,5,2,6,33.3,1,5,20.0,41.7
Jakob Poeltl,SAS,22,7,15,588,20,10,17,58.8,-,-,-,58.8
Jalen Brunson,NYK,30,17,13,962,188,81,206,39.3,26,69,37.7,45.6
Jalen Duren,DET,29,8,21,667,4,2,3,66.7,0,0,-,66.7
Jalen Green,HOU,30,9,21,1030,153,62,200,31.0,29,101,28.7,38.3
Jalen Johnson,ATL,29,15,14,471,8,4,12,33.3,0,4,0.0,33.3
Jalen McDaniels,CHA,31,8,23,820,23,11,27,40.7,1,3,33.3,42.6
Jalen Smith,IND,30,15,15,643,14,6,18,33.3,2,3,66.7,38.9
Jalen Suggs,ORL,14,4,10,404,75,31,66,47.0,13,31,41.9,56.8
Jalen Williams,OKC,27,11,16,730,46,23,47,48.9,0,2,0.0,48.9
Jamal Cain,MIA,8,4,4,93,0,0,2,0.0,0,0,-,0.0
Jamal Murray,DEN,25,15,10,769,190,80,189,42.3,30,76,39.5,50.3
James Bouknight,CHA,22,5,17,336,29,11,34,32.4,7,21,33.3,42.6
James Harden,PHI,15,9,6,569,141,55,136,40.4,31,82,37.8,51.8
James Johnson,IND,7,4,3,62,2,1,4,25.0,0,1,0.0,25.0
James Wiseman,GSW,14,5,9,166,0,0,6,0.0,-,-,-,0.0
Jaren Jackson Jr.,MEM,13,9,4,331,3,1,3,33.3,1,1,100,50.0
Jarred Vanderbilt,UTA,31,15,16,762,2,1,8,12.5,0,0,-,12.5
Jarrett Allen,CLE,25,18,7,831,2,1,1,100,0,0,-,100
Jarrett Culver,ATL,10,5,5,137,6,3,8,37.5,0,2,0.0,37.5
Jason Preston,LAC,5,1,4,44,2,1,5,20.0,0,1,0.0,20.0
Javonte Green,CHI,25,9,16,404,5,2,5,40.0,1,1,100,50.0
Jaxson Hayes,NOP,10,5,5,73,0,0,0,-,0,0,-,-
Jaylen Brown,BOS,29,20,9,1039,177,79,168,47.0,19,58,32.8,52.7
Jaylen Nowell,MIN,31,16,15,609,86,37,91,40.7,12,41,29.3,47.3
Jaylin Williams,OKC,7,2,5,61,0,0,0,-,0,0,-,-
Jayson Tatum,BOS,29,21,8,1074,163,63,189,33.3,37,125,29.6,43.1
Jeff Dowtin Jr.,TOR,9,6,3,67,4,2,7,28.6,0,0,-,28.6
Jeff Green,DEN,22,14,8,423,8,4,15,26.7,0,3,0.0,26.7
Jerami Grant,POR,29,15,14,1042,101,45,99,45.5,11,16,68.8,51.0
Jeremiah Robinson-Earl,OKC,26,10,16,548,5,2,3,66.7,1,2,50.0,83.3
Jeremy Sochan,SAS,24,7,17,576,21,10,19,52.6,1,4,25.0,55.3
Jericho Sims,NYK,22,14,8,275,0,0,0,-,-,-,-,-
Jevon Carter,MIL,30,22,8,769,95,41,97,42.3,13,35,37.1,49.0
Jimmy Butler,MIA,20,11,9,703,49,24,66,36.4,1,11,9.1,37.1
Jock Landale,PHX,27,15,12,369,2,1,5,20.0,0,1,0.0,20.0
Joe Harris,BKN,28,18,10,726,16,6,27,22.2,4,16,25.0,29.6
Joe Ingles,MIL,1,1,0,15,0,0,2,0.0,0,2,0.0,0.0
Joel Embiid,PHI,21,12,9,753,131,63,158,39.9,5,24,20.8,41.5
John Butler Jr.,POR,4,0,4,15,0,0,0,-,0,0,-,-
John Collins,ATL,23,13,10,713,6,3,15,20.0,0,2,0.0,20.0
John Konchar,MEM,27,17,10,730,16,6,18,33.3,4,13,30.8,44.4
John Wall,LAC,25,12,13,564,53,26,86,30.2,1,19,5.3,30.8
Johnny Davis,WAS,8,3,5,45,4,2,9,22.2,0,1,0.0,22.2
Jonas Valanciunas,NOP,30,18,12,713,6,3,13,23.1,0,1,0.0,23.1
Jonathan Kuminga,GSW,27,14,13,471,14,6,15,40.0,2,6,33.3,46.7
Jordan Clarkson,UTA,32,17,15,1040,180,72,186,38.7,36,104,34.6,48.4
Jordan Goodwin,WAS,24,7,17,532,48,21,48,43.8,6,16,37.5,50.0
Jordan Hall,SAS,9,1,8,83,10,4,9,44.4,2,3,66.7,55.6
Jordan McLaughlin,MIN,18,10,8,287,10,4,12,33.3,2,9,22.2,41.7
Jordan Nwora,MIL,25,18,7,428,16,7,32,21.9,2,11,18.2,25.0
Jordan Poole,GSW,31,15,16,894,166,67,183,36.6,32,105,30.5,45.4
Jordan Schakel,WAS,2,0,2,6,3,1,1,100,1,1,100,150.0
Jose Alvarado,NOP,29,18,11,595,18,7,28,25.0,4,15,26.7,32.1
Josh Christopher,HOU,18,4,14,126,13,6,19,31.6,1,7,14.3,34.2
Josh Giddey,OKC,26,8,18,802,37,18,63,28.6,1,10,10.0,29.4
Josh Green,DAL,25,13,12,507,0,0,3,0.0,0,2,0.0,0.0
Josh Hart,POR,29,16,13,997,19,9,34,26.5,1,8,12.5,27.9
Josh Minott,MIN,5,2,3,14,0,0,0,-,-,-,-,-
Josh Okogie,PHX,27,16,11,287,21,8,24,33.3,5,15,33.3,43.8
Josh Richardson,SAS,21,8,13,488,53,26,69,37.7,1,11,9.1,38.4
Joshua Primo,SAS,4,3,1,93,9,4,9,44.4,1,3,33.3,50.0
Jrue Holiday,MIL,23,18,5,754,155,61,163,37.4,33,95,34.7,47.5
Juan Toscano-Anderson,LAL,14,3,11,146,0,0,3,0.0,0,0,-,0.0
Juancho Hernangomez,TOR,20,8,12,374,0,0,2,0.0,0,1,0.0,0.0
Julian Champagnie,PHI,2,2,0,7,0,0,1,0.0,0,0,-,0.0
Julius Randle,NYK,30,17,13,1013,131,57,144,39.6,17,58,29.3,45.5
Justin Champagnie,TOR,3,2,1,11,0,0,0,-,-,-,-,-
Justin Holiday,ATL,23,10,13,382,15,6,26,23.1,3,12,25.0,28.8
Justin Jackson,BOS,12,9,3,62,0,0,2,0.0,0,1,0.0,0.0
Justise Winslow,POR,28,15,13,760,18,9,27,33.3,0,1,0.0,33.3
Jusuf Nurkic,POR,27,15,12,785,4,2,7,28.6,0,0,-,28.6
KZ Okpala,SAC,18,8,10,154,2,1,1,100,0,0,-,100
Kai Jones,CHA,21,6,15,213,4,2,5,40.0,0,0,-,40.0
Karl-Anthony Towns,MIN,21,10,11,709,29,12,31,38.7,5,11,45.5,46.8
Kawhi Leonard,LAC,11,9,2,292,62,29,70,41.4,4,19,21.1,44.3
Keegan Murray,SAC,27,15,12,779,37,16,37,43.2,5,13,38.5,50.0
Keita Bates-Diop,SAS,25,7,18,481,10,5,10,50.0,0,1,0.0,50.0
Keldon Johnson,SAS,27,9,18,881,63,27,105,25.7,9,45,20.0,30.0
Kelly Olynyk,UTA,32,17,15,915,37,16,35,45.7,5,11,45.5,52.9
Kelly Oubre Jr.,CHA,31,8,23,1035,116,50,131,38.2,16,55,29.1,44.3
Kemba Walker,DAL,4,1,3,99,26,10,24,41.7,6,18,33.3,54.2
Kendall Brown,IND,6,1,5,40,2,1,1,100,0,0,-,100
Kendrick Nunn,LAL,25,10,15,311,39,17,55,30.9,5,23,21.7,35.5
Kennedy Chandler,MEM,13,7,6,145,2,1,7,14.3,0,4,0.0,14.3
Kenneth Lofton Jr.,MEM,5,3,2,23,0,0,4,0.0,0,1,0.0,0.0
Kenrich Williams,OKC,23,11,12,490,30,14,33,42.4,2,9,22.2,45.5
Kentavious Caldwell-Pope,DEN,28,17,11,871,46,21,62,33.9,4,18,22.2,37.1
Kenyon Martin Jr.,HOU,30,9,21,721,0,0,4,0.0,0,3,0.0,0.0
Keon Ellis,SAC,3,1,2,9,0,0,0,-,0,0,-,-
Keon Johnson,POR,12,6,6,166,16,6,24,25.0,4,12,33.3,33.3
Kessler Edwards,BKN,13,5,8,74,0,0,3,0.0,0,1,0.0,0.0
Kevin Durant,BKN,30,18,12,1101,375,175,316,55.4,25,67,37.3,59.3
Kevin Huerter,SAC,28,15,13,890,127,47,113,41.6,33,72,45.8,56.2
Kevin Knox II,DET,25,6,19,354,11,5,21,23.8,1,11,9.1,26.2
Kevin Love,CLE,24,16,8,473,35,13,32,40.6,9,22,40.9,54.7
Kevin Porter Jr.,HOU,29,9,20,990,175,71,210,33.8,33,117,28.2,41.7
Kevon Harris,ORL,24,8,16,283,0,0,5,0.0,0,3,0.0,0.0
Kevon Looney,GSW,31,15,16,717,0,0,4,0.0,-,-,-,0.0
Khem Birch,TOR,18,9,9,148,0,0,0,-,0,0,-,-
Khris Middleton,MIL,7,4,3,171,24,10,39,25.6,4,18,22.2,30.8
Killian Hayes,DET,32,8,24,797,124,58,148,39.2,8,33,24.2,41.9
Kira Lewis Jr.,NOP,1,0,1,6,0,0,0,-,0,0,-,-
Klay Thompson,GSW,25,13,12,776,140,58,139,41.7,24,56,42.9,50.4
Kristaps Porzingis,WAS,29,10,19,950,87,40,105,38.1,7,21,33.3,41.4
Kyle Anderson,MIN,25,11,14,608,17,8,23,34.8,1,3,33.3,37.0
Kyle Kuzma,WAS,30,11,19,1059,81,34,108,31.5,13,49,26.5,37.5
Kyle Lowry,MIA,28,13,15,1010,111,43,114,37.7,25,78,32.1,48.7
Kyrie Irving,BKN,22,13,9,806,224,97,197,49.2,30,84,35.7,56.9
LaMelo Ball,CHA,7,2,5,229,69,26,61,42.6,17,40,42.5,56.6
Lamar Stevens,CLE,17,12,5,404,16,8,21,38.1,0,2,0.0,38.1
Landry Shamet,PHX,22,14,8,383,31,11,39,28.2,9,26,34.6,39.7
Larry Nance Jr.,NOP,27,16,11,627,6,3,6,50.0,0,1,0.0,50.0
Lauri Markkanen,UTA,30,16,14,1014,64,28,66,42.4,8,24,33.3,48.5
LeBron James,LAL,22,10,12,798,104,43,137,31.4,18,64,28.1,38.0
Leandro Bolmaro,UTA,8,4,4,53,4,2,5,40.0,0,0,-,40.0
Lindy Waters III,OKC,8,3,5,109,5,2,6,33.3,1,5,20.0,41.7
Lonnie Walker IV,LAL,27,12,15,815,53,23,62,37.1,7,19,36.8,42.7
Luguentz Dort,OKC,30,13,17,909,32,13,50,26.0,6,31,19.4,32.0
Luka Doncic,DAL,28,15,13,1017,344,136,348,39.1,72,210,34.3,49.4
Luka Garza,MIN,6,4,2,25,0,0,0,-,0,0,-,-
Luke Kennard,LAC,20,13,7,444,49,20,38,52.6,9,21,42.9,64.5
Luke Kornet,BOS,26,17,9,351,5,2,3,66.7,1,2,50.0,83.3
Malachi Flynn,TOR,19,8,11,259,36,14,46,30.4,8,20,40.0,39.1
Malaki Branham,SAS,16,4,12,276,30,14,29,48.3,2,6,33.3,51.7
Malcolm Brogdon,BOS,26,17,9,620,95,38,83,45.8,19,43,44.2,57.2
Malcolm Hill,CHI,3,3,0,1,0,0,0,-,-,-,-,-
Malik Beasley,UTA,33,17,16,902,122,47,125,37.6,28,75,37.3,48.8
Malik Monk,SAC,29,16,13,670,82,32,96,33.3,18,63,28.6,42.7
Mamadi Diakite,CLE,11,7,4,83,3,1,3,33.3,1,1,100,50.0
MarJon Beauchamp,MIL,19,14,5,295,21,8,27,29.6,5,16,31.3,38.9
Marcus Morris Sr.,LAC,29,18,11,875,150,69,151,45.7,12,29,41.4,49.7
Marcus Smart,BOS,28,19,9,929,42,16,48,33.3,10,32,31.3,43.8
Mark Williams,CHA,3,2,1,13,0,0,0,-,-,-,-,-
Markelle Fultz,ORL,11,6,5,297,33,16,39,41.0,1,5,20.0,42.3
Markieff Morris,BKN,18,13,5,204,6,3,9,33.3,0,0,-,33.3
Marko Simonovic,CHI,1,0,1,2,0,0,0,-,0,0,-,-
Marvin Bagley III,DET,19,5,14,424,15,7,15,46.7,1,3,33.3,50.0
Mason Plumlee,CHA,31,8,23,851,12,6,10,60.0,-,-,-,60.0
Matisse Thybulle,PHI,25,15,10,305,3,1,2,50.0,1,2,50.0,75.0
Matt Ryan,MIN,17,8,9,145,2,1,13,7.7,0,2,0.0,7.7
Matthew Dellavedova,SAC,13,7,6,98,5,2,7,28.6,1,1,100,35.7
