Name,Minutes,Points,FG2M,FG2A,FG3M,FG3A,TsPct,AssistPoints,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,Corner3Assists,Arc3Assists,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,OffensiveGoaltends,FTA,OffPoss,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,DefPoss,TotalPoss
Draymond Green,389,109.0,26.0,48.0,16.0,60.0,0.4823008849557522,110.0,19.0,5.0,4.0,4.0,14.0,5.0,19.0,7.0,19.0,17.0,3.0,,,1.0,36.0,,13.0,744,36.0,16.0,48.0,,751,1495
Derrick White,385,199.0,27.0,40.0,38.0,96.0,0.6589403973509934,86.0,17.0,4.0,4.0,1.0,11.0,4.0,8.0,3.0,5.0,4.0,,3.0,,1.0,12.0,,36.0,725,24.0,30.0,96.0,18.0,727,1452
Brandin Podziemski,385,135.0,26.0,65.0,22.0,67.0,0.47202797202797203,92.0,11.0,5.0,3.0,8.0,10.0,4.0,15.0,2.0,13.0,3.0,,2.0,,1.0,18.0,,24.0,747,32.0,20.0,54.0,12.0,745,1492
Michael Porter Jr.,383,112.0,18.0,42.0,22.0,61.0,0.5137614678899083,22.0,1.0,,1.0,,6.0,2.0,6.0,1.0,1.0,6.0,,5.0,1.0,1.0,12.0,,14.0,750,26.0,10.0,66.0,,737,1487
Julius Randle,376,239.0,67.0,114.0,19.0,55.0,0.6223958333333334,148.0,23.0,5.0,1.0,7.0,23.0,3.0,12.0,4.0,6.0,19.0,2.0,6.0,,4.0,31.0,,54.0,723,66.0,68.0,42.0,15.0,728,1451
Jaylen Brown,371,223.0,60.0,121.0,18.0,54.0,0.5465686274509803,94.0,15.0,1.0,1.0,5.0,15.0,6.0,19.0,5.0,7.0,13.0,3.0,12.0,,,32.0,,64.0,703,34.0,86.0,39.0,15.0,699,1402
Jaden McDaniels,360,154.0,52.0,83.0,10.0,29.0,0.6311475409836066,35.0,3.0,1.0,,1.0,8.0,3.0,5.0,1.0,4.0,6.0,1.0,1.0,2.0,,11.0,,23.0,681,62.0,42.0,30.0,,682,1363
Tyrese Haliburton,341,175.0,41.0,68.0,22.0,65.0,0.589041095890411,227.0,22.0,19.0,11.0,20.0,21.0,3.0,17.0,1.0,12.0,4.0,2.0,5.0,1.0,,21.0,,34.0,711,24.0,58.0,33.0,33.0,694,1405
Shai Gilgeous-Alexander,332,252.0,75.0,145.0,12.0,50.0,0.5484581497797357,156.0,12.0,11.0,1.0,13.0,23.0,5.0,15.0,3.0,6.0,5.0,1.0,9.0,,,20.0,,76.0,692,26.0,124.0,3.0,33.0,683,1375
Andrew Nembhard,328,146.0,33.0,65.0,22.0,44.0,0.6293103448275862,150.0,13.0,13.0,4.0,9.0,21.0,6.0,8.0,3.0,6.0,9.0,2.0,2.0,,2.0,17.0,,16.0,667,32.0,34.0,45.0,21.0,665,1332
Buddy Hield,327,150.0,19.0,48.0,33.0,77.0,0.5681818181818182,51.0,6.0,6.0,,6.0,3.0,6.0,8.0,1.0,5.0,5.0,2.0,3.0,,,13.0,,14.0,646,18.0,20.0,87.0,12.0,633,1279
Jayson Tatum,322,225.0,45.0,97.0,29.0,78.0,0.5710659898477157,109.0,15.0,2.0,3.0,5.0,18.0,5.0,14.0,4.0,9.0,12.0,2.0,5.0,,2.0,26.0,,54.0,611,28.0,62.0,18.0,69.0,608,1219
Al Horford,321,78.0,18.0,34.0,12.0,31.0,0.5735294117647058,52.0,6.0,2.0,,1.0,11.0,2.0,2.0,2.0,,4.0,1.0,2.0,,,6.0,,7.0,601,22.0,14.0,36.0,,606,1207
Pascal Siakam,321,188.0,61.0,105.0,15.0,34.0,0.6225165562913907,74.0,9.0,6.0,4.0,7.0,5.0,5.0,6.0,1.0,1.0,6.0,,5.0,1.0,1.0,12.0,,32.0,655,92.0,30.0,45.0,,643,1298
Jalen Williams,314,186.0,55.0,101.0,13.0,50.0,0.5285714285714286,108.0,13.0,15.0,2.0,5.0,11.0,8.0,9.0,1.0,5.0,3.0,1.0,4.0,,1.0,12.0,,49.0,647,46.0,64.0,24.0,15.0,654,1301
Myles Turner,310,165.0,37.0,68.0,18.0,40.0,0.6346153846153846,30.0,4.0,3.0,2.0,1.0,3.0,3.0,7.0,1.0,4.0,5.0,,3.0,,1.0,12.0,,46.0,635,68.0,6.0,54.0,,633,1268
Aaron Nesmith,296,146.0,26.0,46.0,27.0,56.0,0.6697247706422018,37.0,3.0,6.0,2.0,2.0,3.0,3.0,4.0,1.0,3.0,3.0,1.0,1.0,,,7.0,,15.0,607,30.0,22.0,81.0,,602,1209
Donovan Mitchell,288,266.0,58.0,110.0,28.0,84.0,0.574235807860262,89.0,10.0,6.0,,4.0,15.0,7.0,8.0,4.0,5.0,9.0,2.0,3.0,1.0,,17.0,,89.0,581,30.0,86.0,48.0,36.0,577,1158
Stephen Curry,281,181.0,30.0,50.0,32.0,80.0,0.6312056737588653,100.0,17.0,6.0,,7.0,11.0,3.0,18.0,4.0,9.0,9.0,1.0,9.0,1.0,2.0,27.0,,28.0,537,22.0,38.0,48.0,48.0,527,1064
Rudy Gobert,280,89.0,34.0,56.0,,,0.5933333333333334,8.0,,1.0,,,2.0,2.0,5.0,,3.0,4.0,,2.0,,,9.0,1.0,38.0,535,46.0,22.0,,,531,1066
Fred VanVleet,280,131.0,13.0,31.0,27.0,62.0,0.6176470588235294,69.0,12.0,10.0,2.0,3.0,4.0,4.0,10.0,1.0,6.0,3.0,,4.0,,,13.0,,24.0,530,4.0,22.0,57.0,24.0,533,1063
James Harden,276,131.0,28.0,57.0,16.0,44.0,0.5701754385964912,148.0,20.0,22.0,2.0,3.0,17.0,6.0,18.0,1.0,14.0,3.0,2.0,4.0,,,21.0,,33.0,523,8.0,48.0,12.0,36.0,523,1046
Payton Pritchard,274,120.0,14.0,26.0,26.0,63.0,0.6185567010309279,33.0,4.0,1.0,1.0,3.0,4.0,1.0,6.0,2.0,3.0,3.0,,3.0,1.0,,9.0,,17.0,511,6.0,22.0,57.0,21.0,511,1022
Russell Westbrook,274,138.0,29.0,62.0,18.0,56.0,0.5149253731343284,74.0,12.0,9.0,1.0,,10.0,8.0,16.0,1.0,8.0,6.0,1.0,8.0,,,22.0,,36.0,543,24.0,34.0,48.0,6.0,555,1098
Chet Holmgren,273,141.0,32.0,64.0,15.0,43.0,0.5595238095238095,20.0,3.0,,1.0,1.0,3.0,3.0,6.0,1.0,2.0,5.0,2.0,4.0,,1.0,11.0,1.0,40.0,562,50.0,14.0,45.0,,566,1128
Kawhi Leonard,265,175.0,51.0,86.0,15.0,37.0,0.6340579710144928,77.0,7.0,15.0,,6.0,5.0,2.0,6.0,4.0,3.0,9.0,2.0,3.0,1.0,1.0,15.0,,36.0,492,36.0,66.0,39.0,6.0,490,982
Jarrett Allen,261,121.0,44.0,61.0,,,0.7756410256410257,31.0,3.0,2.0,,1.0,6.0,6.0,10.0,2.0,7.0,7.0,1.0,3.0,1.0,1.0,17.0,,35.0,526,74.0,14.0,,,520,1046
Donte DiVincenzo,258,80.0,15.0,31.0,14.0,56.0,0.43478260869565216,77.0,19.0,9.0,,2.0,5.0,3.0,9.0,3.0,6.0,10.0,,3.0,,,19.0,,11.0,530,16.0,14.0,36.0,6.0,526,1056
Evan Mobley,257,137.0,37.0,56.0,14.0,31.0,0.6989795918367347,30.0,7.0,1.0,1.0,1.0,3.0,5.0,5.0,,3.0,6.0,2.0,2.0,1.0,2.0,11.0,,25.0,508,46.0,28.0,33.0,9.0,511,1019
Alperen Sengun,256,146.0,56.0,123.0,3.0,8.0,0.4866666666666667,95.0,9.0,5.0,2.0,3.0,18.0,4.0,10.0,,6.0,5.0,,4.0,1.0,1.0,15.0,,40.0,486,52.0,60.0,6.0,3.0,481,967
Ivica Zubac,256,122.0,54.0,82.0,,,0.648936170212766,38.0,6.0,3.0,1.0,4.0,2.0,2.0,9.0,,7.0,2.0,,2.0,,,11.0,,26.0,471,90.0,18.0,,,477,948
Luguentz Dort,256,73.0,5.0,9.0,18.0,63.0,0.474025974025974,17.0,2.0,2.0,,1.0,2.0,2.0,4.0,,1.0,3.0,1.0,3.0,,2.0,7.0,,12.0,529,10.0,,54.0,,529,1058
Max Strus,253,105.0,11.0,22.0,26.0,67.0,0.5706521739130435,85.0,14.0,6.0,,6.0,9.0,2.0,4.0,1.0,2.0,3.0,,2.0,,,7.0,,6.0,515,12.0,10.0,72.0,6.0,512,1027
Naz Reid,253,110.0,19.0,30.0,21.0,45.0,0.6790123456790124,39.0,7.0,4.0,1.0,2.0,3.0,1.0,11.0,1.0,6.0,6.0,3.0,5.0,,,17.0,,13.0,506,20.0,18.0,60.0,3.0,503,1009
Cade Cunningham,248,150.0,50.0,101.0,5.0,28.0,0.5033783783783784,125.0,23.0,6.0,2.0,6.0,15.0,4.0,20.0,3.0,9.0,12.0,2.0,11.0,1.0,1.0,32.0,,42.0,506,12.0,88.0,3.0,12.0,500,1006
Mike Conley,243,68.0,8.0,24.0,14.0,39.0,0.5,92.0,17.0,5.0,,5.0,11.0,3.0,6.0,2.0,4.0,2.0,,2.0,,,8.0,,11.0,455,8.0,8.0,39.0,3.0,457,912
Isaiah Hartenstein,242,95.0,43.0,75.0,,,0.6012658227848101,69.0,15.0,2.0,4.0,3.0,6.0,1.0,7.0,3.0,5.0,6.0,,2.0,,,13.0,,13.0,496,64.0,22.0,,,495,991
Norman Powell,238,112.0,28.0,49.0,14.0,40.0,0.578125,38.0,9.0,3.0,1.0,3.0,1.0,4.0,10.0,,3.0,2.0,2.0,7.0,,,12.0,,18.0,452,34.0,22.0,36.0,6.0,447,899
Jrue Holiday,234,72.0,19.0,28.0,9.0,24.0,0.6545454545454545,74.0,7.0,6.0,,7.0,9.0,3.0,8.0,3.0,5.0,6.0,3.0,3.0,,,14.0,,11.0,437,22.0,16.0,18.0,9.0,437,874
Tobias Harris,233,94.0,24.0,48.0,10.0,23.0,0.6103896103896104,7.0,2.0,,,,1.0,1.0,4.0,,1.0,2.0,1.0,3.0,1.0,,6.0,,16.0,465,26.0,22.0,30.0,,469,934
Amen Thompson,231,110.0,41.0,81.0,1.0,4.0,0.5445544554455446,57.0,4.0,8.0,,3.0,8.0,5.0,9.0,1.0,7.0,3.0,1.0,2.0,,1.0,12.0,,36.0,442,34.0,48.0,,3.0,445,887
Kristaps Porziņģis,219,81.0,21.0,51.0,3.0,24.0,0.43548387096774194,19.0,4.0,1.0,,2.0,1.0,1.0,4.0,,1.0,6.0,1.0,3.0,,1.0,10.0,,43.0,414,30.0,12.0,9.0,,409,823
Jalen Green,219,93.0,19.0,42.0,13.0,44.0,0.48947368421052634,47.0,6.0,6.0,1.0,4.0,3.0,1.0,7.0,1.0,4.0,3.0,,3.0,,1.0,10.0,,24.0,426,18.0,20.0,18.0,21.0,424,850
Mitchell Robinson,209,49.0,16.0,32.0,,,0.46226415094339623,10.0,2.0,,,1.0,1.0,2.0,8.0,1.0,4.0,1.0,,4.0,,,9.0,,44.0,398,12.0,20.0,,,411,809
Luka Dončić,208,151.0,31.0,58.0,16.0,46.0,0.596,70.0,11.0,2.0,4.0,6.0,6.0,2.0,17.0,2.0,9.0,3.0,1.0,8.0,,,20.0,,46.0,395,18.0,44.0,18.0,30.0,392,787
Dillon Brooks,206,86.0,18.0,34.0,10.0,29.0,0.5733333333333334,21.0,3.0,3.0,,2.0,1.0,1.0,5.0,1.0,2.0,4.0,,3.0,,,9.0,,24.0,383,12.0,24.0,27.0,3.0,383,766
LeBron James,204,127.0,33.0,60.0,10.0,28.0,0.616504854368932,70.0,8.0,5.0,1.0,5.0,9.0,7.0,10.0,2.0,8.0,3.0,,2.0,,,13.0,1.0,40.0,382,38.0,28.0,21.0,9.0,377,759
Jalen Duren,203,71.0,26.0,40.0,,,0.71,50.0,9.0,3.0,1.0,2.0,6.0,2.0,5.0,2.0,2.0,5.0,,3.0,,,10.0,,23.0,398,32.0,20.0,,,401,799
Miles McBride,199,61.0,6.0,18.0,15.0,38.0,0.5169491525423728,30.0,2.0,,1.0,1.0,7.0,3.0,3.0,,2.0,2.0,1.0,1.0,,,5.0,,6.0,382,2.0,10.0,33.0,12.0,387,769
Paolo Banchero,197,147.0,42.0,97.0,12.0,27.0,0.513986013986014,52.0,6.0,4.0,1.0,4.0,6.0,,12.0,,7.0,3.0,,5.0,,,15.0,,41.0,366,24.0,60.0,24.0,12.0,368,734
Austin Reaves,196,81.0,15.0,26.0,15.0,47.0,0.5263157894736842,45.0,7.0,1.0,1.0,4.0,5.0,,6.0,1.0,5.0,8.0,4.0,1.0,,,14.0,,7.0,372,12.0,18.0,33.0,12.0,368,740
Franz Wagner,195,129.0,44.0,78.0,7.0,37.0,0.5079365079365079,63.0,14.0,4.0,3.0,2.0,5.0,2.0,9.0,,6.0,1.0,,3.0,,,10.0,,26.0,365,20.0,68.0,18.0,3.0,364,729
Alex Caruso,194,81.0,10.0,23.0,17.0,40.0,0.5785714285714286,63.0,8.0,8.0,2.0,2.0,7.0,8.0,6.0,1.0,4.0,1.0,,2.0,,,7.0,,15.0,401,10.0,10.0,51.0,,403,804
Moses Moody,193,85.0,13.0,35.0,15.0,45.0,0.48295454545454547,33.0,4.0,5.0,,2.0,3.0,3.0,3.0,1.0,3.0,2.0,1.0,,,,5.0,,17.0,379,12.0,14.0,27.0,18.0,385,764
Ty Jerome,191,105.0,23.0,56.0,14.0,36.0,0.525,80.0,11.0,4.0,1.0,2.0,14.0,5.0,5.0,3.0,2.0,6.0,1.0,3.0,1.0,1.0,11.0,,20.0,385,12.0,34.0,12.0,30.0,381,766
Nickeil Alexander-Walker,189,65.0,12.0,28.0,10.0,34.0,0.47794117647058826,54.0,9.0,3.0,,6.0,4.0,1.0,8.0,4.0,5.0,7.0,2.0,3.0,,1.0,15.0,,12.0,381,16.0,8.0,30.0,,383,764
Tim Hardaway Jr.,188,72.0,8.0,19.0,16.0,52.0,0.48,19.0,1.0,,1.0,4.0,1.0,2.0,3.0,2.0,3.0,6.0,1.0,,,,9.0,1.0,10.0,372,12.0,4.0,45.0,3.0,369,741
Giannis Antetokounmpo,188,165.0,59.0,94.0,1.0,5.0,0.6547619047619048,88.0,6.0,4.0,1.0,5.0,17.0,4.0,14.0,3.0,5.0,9.0,,9.0,1.0,4.0,23.0,,63.0,372,36.0,82.0,3.0,,376,748
Jonathan Kuminga,187,122.0,35.0,68.0,10.0,25.0,0.5648148148148148,26.0,4.0,,,2.0,4.0,1.0,9.0,3.0,5.0,4.0,1.0,4.0,,,13.0,,31.0,372,42.0,28.0,27.0,3.0,376,748
De'Andre Hunter,185,88.0,15.0,37.0,12.0,26.0,0.5945945945945946,16.0,5.0,3.0,,,,2.0,3.0,,1.0,4.0,2.0,2.0,,1.0,7.0,,26.0,377,18.0,12.0,24.0,12.0,378,755
Rui Hachimura,182,74.0,13.0,26.0,15.0,31.0,0.6379310344827587,13.0,2.0,,,1.0,2.0,1.0,4.0,1.0,2.0,3.0,2.0,2.0,,,7.0,,3.0,339,24.0,2.0,45.0,,341,680
Gary Payton II,180,51.0,12.0,24.0,9.0,23.0,0.5425531914893617,44.0,1.0,3.0,,3.0,9.0,7.0,1.0,1.0,1.0,4.0,,,,,5.0,1.0,,344,22.0,2.0,27.0,,358,702
Cason Wallace,175,44.0,10.0,19.0,7.0,18.0,0.5789473684210527,45.0,10.0,4.0,1.0,,5.0,7.0,4.0,,4.0,2.0,1.0,,,1.0,6.0,,5.0,364,10.0,10.0,21.0,,367,731
Nicolas Batum,172,39.0,,,13.0,33.0,0.5909090909090909,35.0,3.0,4.0,,4.0,3.0,2.0,2.0,1.0,1.0,1.0,,1.0,,,3.0,,,328,,,39.0,,328,656
Gary Trent Jr.,171,94.0,10.0,18.0,22.0,44.0,0.7045454545454546,15.0,2.0,,1.0,,3.0,4.0,2.0,,2.0,1.0,1.0,,,,3.0,,10.0,340,4.0,16.0,60.0,6.0,347,687
Dorian Finney-Smith,170,31.0,5.0,10.0,7.0,19.0,0.5344827586206896,33.0,5.0,,1.0,3.0,4.0,1.0,1.0,1.0,,4.0,,1.0,1.0,,5.0,,,323,8.0,2.0,21.0,,320,643
T.J. McConnell,166,86.0,33.0,63.0,3.0,6.0,0.5733333333333334,106.0,13.0,11.0,2.0,7.0,11.0,1.0,9.0,2.0,5.0,5.0,1.0,4.0,,2.0,14.0,,12.0,335,22.0,44.0,9.0,,339,674
Peyton Watson,165,55.0,15.0,30.0,7.0,14.0,0.5612244897959183,5.0,,,1.0,1.0,,4.0,3.0,1.0,2.0,3.0,,1.0,,,6.0,,10.0,331,16.0,14.0,21.0,,344,675
Dennis Schröder,164,75.0,16.0,32.0,10.0,21.0,0.6147540983606558,51.0,8.0,2.0,5.0,3.0,4.0,3.0,5.0,1.0,3.0,2.0,,2.0,,,7.0,,16.0,327,6.0,26.0,15.0,15.0,330,657
Kentavious Caldwell-Pope,163,25.0,2.0,7.0,6.0,23.0,0.375,23.0,3.0,,1.0,1.0,4.0,5.0,1.0,1.0,,1.0,,1.0,,,2.0,,4.0,308,2.0,2.0,18.0,,310,618
Malik Beasley,163,84.0,8.0,16.0,20.0,59.0,0.5316455696202531,17.0,2.0,2.0,,2.0,1.0,1.0,5.0,,3.0,2.0,1.0,2.0,,,7.0,,8.0,340,10.0,6.0,57.0,3.0,334,674
Wendell Carter Jr.,162,51.0,18.0,29.0,3.0,11.0,0.5795454545454546,14.0,3.0,1.0,,,2.0,1.0,5.0,1.0,5.0,3.0,,,,,8.0,1.0,10.0,305,24.0,12.0,9.0,,306,611
Obi Toppin,160,85.0,23.0,35.0,9.0,27.0,0.6159420289855072,41.0,8.0,5.0,,1.0,4.0,1.0,2.0,2.0,2.0,7.0,1.0,,,2.0,9.0,,17.0,332,34.0,12.0,27.0,,332,664
Luke Kornet,160,45.0,19.0,26.0,,,0.7758620689655172,11.0,1.0,,,1.0,2.0,2.0,2.0,,1.0,1.0,,1.0,,,3.0,,7.0,299,26.0,12.0,,,297,596
Sam Merrill,159,46.0,1.0,1.0,14.0,39.0,0.5609756097560976,35.0,2.0,4.0,1.0,2.0,5.0,2.0,1.0,,1.0,1.0,,,,1.0,2.0,,3.0,316,,2.0,39.0,3.0,319,635
Bobby Portis,158,70.0,20.0,40.0,10.0,28.0,0.5147058823529411,21.0,,,,1.0,6.0,,5.0,1.0,2.0,1.0,,3.0,,,6.0,,1.0,314,30.0,10.0,30.0,,317,631
Steven Adams,155,40.0,12.0,20.0,,,0.5714285714285714,8.0,2.0,2.0,,,,1.0,2.0,,2.0,3.0,,,,1.0,5.0,,30.0,289,12.0,12.0,,,287,576
Bennedict Mathurin,155,98.0,21.0,31.0,9.0,32.0,0.6298701298701299,11.0,3.0,1.0,,1.0,,3.0,6.0,2.0,2.0,5.0,,4.0,,,11.0,,33.0,318,30.0,12.0,21.0,6.0,321,639
Bam Adebayo,153,70.0,21.0,43.0,7.0,21.0,0.5072463768115942,43.0,3.0,4.0,1.0,2.0,7.0,1.0,7.0,3.0,4.0,5.0,,3.0,,2.0,12.0,,11.0,291,10.0,32.0,21.0,,292,583
Kris Dunn,153,44.0,7.0,16.0,10.0,28.0,0.5,22.0,1.0,4.0,,,4.0,4.0,1.0,,1.0,,,,,,1.0,,,283,14.0,,30.0,,286,569
Kevin Porter Jr.,151,56.0,12.0,33.0,7.0,15.0,0.5185185185185185,70.0,7.0,2.0,2.0,4.0,12.0,1.0,6.0,1.0,4.0,3.0,1.0,2.0,,,9.0,,13.0,302,2.0,22.0,15.0,6.0,304,606
Darius Garland,148,90.0,19.0,34.0,10.0,35.0,0.5555555555555556,64.0,9.0,5.0,,4.0,8.0,,10.0,2.0,7.0,5.0,,3.0,,1.0,15.0,,24.0,292,8.0,30.0,9.0,21.0,292,584
Quinten Post,146,45.0,6.0,16.0,10.0,32.0,0.45,31.0,2.0,1.0,2.0,2.0,5.0,1.0,3.0,,2.0,3.0,2.0,1.0,,,6.0,,4.0,280,10.0,2.0,30.0,,274,554
Tyler Herro,144,71.0,18.0,36.0,9.0,29.0,0.5071428571428571,30.0,1.0,2.0,,1.0,7.0,1.0,6.0,1.0,2.0,3.0,,4.0,,1.0,9.0,,10.0,277,14.0,22.0,18.0,9.0,279,556
Jabari Smith Jr.,143,52.0,7.0,12.0,10.0,22.0,0.6666666666666666,11.0,1.0,,,1.0,2.0,,7.0,1.0,2.0,3.0,1.0,5.0,1.0,,10.0,,10.0,271,14.0,,30.0,,280,551
Davion Mitchell,142,60.0,18.0,27.0,7.0,14.0,0.6818181818181818,66.0,2.0,5.0,2.0,8.0,8.0,2.0,5.0,2.0,4.0,3.0,1.0,1.0,,,8.0,,7.0,269,10.0,26.0,15.0,6.0,271,540
Dean Wade,142,15.0,3.0,4.0,3.0,14.0,0.4166666666666667,14.0,4.0,,,,2.0,1.0,,,,3.0,,,,1.0,3.0,,,284,2.0,4.0,9.0,,289,573
Desmond Bane,139,61.0,13.0,31.0,7.0,32.0,0.4295774647887324,33.0,3.0,3.0,,2.0,5.0,3.0,12.0,1.0,8.0,3.0,,4.0,1.0,,15.0,,15.0,295,6.0,20.0,18.0,3.0,292,587
Jaren Jackson Jr.,137,64.0,19.0,47.0,3.0,11.0,0.47058823529411764,15.0,2.0,,1.0,2.0,1.0,1.0,6.0,,1.0,5.0,,5.0,1.0,,11.0,,20.0,290,18.0,20.0,9.0,,290,580
Ausar Thompson,135,69.0,24.0,40.0,,2.0,0.5948275862068966,16.0,2.0,,,,4.0,2.0,5.0,3.0,1.0,6.0,1.0,4.0,,,11.0,,36.0,265,38.0,10.0,,,273,538
AJ Green,135,55.0,,4.0,18.0,35.0,0.6875,25.0,3.0,2.0,,3.0,2.0,,,,,,,,,,,,2.0,265,,,54.0,,269,534
Tari Eason,132,53.0,14.0,25.0,7.0,19.0,0.5638297872340425,11.0,3.0,1.0,,,1.0,2.0,6.0,,3.0,4.0,1.0,3.0,,,10.0,,8.0,249,14.0,14.0,21.0,,263,512
Derrick Jones Jr.,129,51.0,15.0,28.0,6.0,20.0,0.49038461538461536,6.0,,,,1.0,1.0,1.0,2.0,1.0,2.0,1.0,,,,,3.0,,8.0,251,24.0,6.0,18.0,,251,502
Scotty Pippen Jr.,129,73.0,12.0,30.0,10.0,28.0,0.5447761194029851,35.0,3.0,3.0,1.0,,7.0,3.0,8.0,1.0,4.0,6.0,1.0,4.0,,1.0,14.0,,19.0,263,10.0,14.0,24.0,6.0,270,533
Isaac Okoro,128,41.0,9.0,14.0,6.0,16.0,0.6029411764705882,11.0,2.0,2.0,,,1.0,2.0,1.0,,1.0,3.0,,,,1.0,4.0,,8.0,258,10.0,8.0,15.0,3.0,262,520
Cory Joseph,124,25.0,5.0,8.0,5.0,16.0,0.5208333333333334,37.0,4.0,2.0,2.0,1.0,6.0,2.0,1.0,1.0,,1.0,,1.0,,,2.0,,,237,8.0,2.0,15.0,,235,472
Aaron Wiggins,123,74.0,16.0,28.0,12.0,30.0,0.6166666666666667,15.0,3.0,,,2.0,1.0,,5.0,,3.0,2.0,1.0,2.0,,1.0,7.0,,7.0,264,20.0,12.0,36.0,,263,527
Andrew Wiggins,122,46.0,9.0,23.0,7.0,20.0,0.4791666666666667,22.0,3.0,2.0,,2.0,2.0,1.0,4.0,3.0,3.0,7.0,1.0,1.0,,2.0,11.0,,10.0,234,10.0,8.0,15.0,6.0,231,465
Santi Aldama,122,52.0,11.0,20.0,10.0,24.0,0.5909090909090909,17.0,3.0,1.0,,1.0,2.0,,3.0,,2.0,2.0,,1.0,,,5.0,1.0,,255,10.0,12.0,30.0,,256,511
Kevon Looney,120,26.0,10.0,23.0,,,0.48148148148148145,10.0,2.0,,,,2.0,2.0,1.0,,,1.0,,1.0,,,2.0,,8.0,229,10.0,10.0,,,240,469
Bogdan Bogdanović,117,45.0,9.0,20.0,7.0,24.0,0.4787234042553192,39.0,3.0,3.0,,2.0,7.0,1.0,4.0,,1.0,7.0,1.0,3.0,,1.0,11.0,,7.0,231,10.0,8.0,15.0,6.0,228,459
Isaiah Joe,110,51.0,6.0,7.0,12.0,31.0,0.6375,25.0,4.0,,1.0,4.0,1.0,1.0,1.0,,1.0,3.0,1.0,,,,4.0,,4.0,238,12.0,,33.0,3.0,226,464
