Player,Team,GP,W,L,MIN,PTS,TOUCHES,Front CTTouches,Time OfPoss,Avg Sec PerTouch,Avg Drib PerTouch,PTS PerTouch,ElbowTouches,PostUps,PaintTouches,PTS PerElbow Touch,PTS PerPost Touch,PTS PerPaint Touch
Ausar Thompson,DET,17,2,15,515,194,737,404,31,2.5,1.89,0.263,16,3,89,0.625,0.0,0.708
Austin Reaves,LAL,18,10,8,545,250,1131,427,84,4.46,4.18,0.221,10,0,15,0.4,0.0,0.933
Ayo Dosunmu,CHI,16,5,11,239,84,393,193,20,3.1,2.67,0.214,1,0,7,0.0,0.0,0.857
Bam Adebayo,MIA,14,9,5,482,318,942,569,47,2.97,1.58,0.338,73,49,68,0.575,0.673,1.015
Ben Sheppard,IND,7,4,3,55,25,75,49,2,1.55,0.91,0.333,1,0,0,0.0,0.0,0.0
Ben Simmons,BKN,6,3,3,191,39,433,135,26,3.62,2.85,0.09,9,4,28,0.444,0.5,0.643
Bennedict Mathurin,IND,16,9,7,394,206,614,397,24,2.38,1.7,0.336,14,1,28,0.429,0.0,0.607
Bilal Coulibaly,WAS,16,3,13,417,129,495,270,16,1.93,1.17,0.261,4,0,17,1.0,0.0,1.059
Bismack Biyombo,MEM,11,3,8,285,82,387,217,11,1.67,0.38,0.212,26,2,69,0.538,2.0,0.87
Blake Wesley,SAS,4,0,4,21,7,46,14,4,5.62,4.8,0.152,0,0,0,0.0,0.0,0.0
Boban Marjanovic,HOU,3,2,1,20,10,29,18,1,1.91,0.69,0.345,1,3,5,2.0,0.0,1.6
Bobby Portis,MIL,17,12,5,402,201,692,361,21,1.79,0.89,0.29,23,26,49,0.261,0.731,1.184
Bogdan Bogdanovic,ATL,15,7,8,388,238,612,370,21,2.03,1.34,0.389,13,0,13,0.615,0.0,1.077
Bol Bol,PHX,3,3,0,7,2,10,2,0,1.1,0.1,0.2,1,0,1,2.0,0.0,2.0
Bones Hyland,LAC,10,5,5,196,100,382,164,27,4.31,3.6,0.262,2,1,5,0.0,2.0,0.8
Bradley Beal,PHX,3,1,2,86,52,185,109,12,3.96,3.6,0.281,6,0,5,1.167,0.0,0.6
Brandin Podziemski,GSW,10,4,6,158,59,254,150,11,2.54,1.9,0.232,3,1,14,0.0,0.0,0.5
Brandon Ingram,NOP,15,7,8,507,369,1026,589,72,4.23,3.54,0.36,39,13,14,1.0,0.308,0.714
Brandon Miller,CHA,14,5,9,424,198,542,335,24,2.61,1.74,0.365,10,0,27,0.8,0.0,1.037
Braxton Key,DEN,5,4,1,12,2,24,14,1,2.87,1.67,0.083,1,0,1,0.0,0.0,2.0
Brice Sensabaugh,UTA,1,0,1,2,0,7,4,0,3.82,3.14,0.0,1,0,0,0.0,0.0,0.0
Brook Lopez,MIL,17,12,5,492,226,522,343,12,1.42,0.38,0.433,39,12,69,0.821,0.917,0.884
Bruce Brown,IND,16,9,7,504,183,732,366,32,2.58,2.04,0.25,10,2,15,0.4,0.0,0.733
Bruno Fernando,ATL,3,3,0,11,5,16,12,1,1.87,0.81,0.313,0,1,1,0.0,0.0,2.0
Bryce McGowens,CHA,10,3,7,154,40,161,103,6,2.17,1.37,0.248,3,0,1,0.667,0.0,2.0
Buddy Hield,IND,16,9,7,391,218,807,434,24,1.76,1.15,0.27,5,0,9,1.4,0.0,0.889
CJ McCollum,NOP,6,4,2,206,130,460,194,32,4.13,3.64,0.283,6,0,4,0.333,0.0,1.0
Cade Cunningham,DET,17,2,15,603,378,1487,611,120,4.86,4.63,0.254,19,17,18,0.316,0.588,0.556
Caleb Houstan,ORL,10,7,3,69,24,74,53,2,1.26,0.36,0.324,1,0,2,0.0,0.0,1.5
Caleb Martin,MIA,7,4,3,143,53,233,118,13,3.43,2.48,0.227,4,0,4,0.5,0.0,1.0
Cam Reddish,LAL,15,9,6,359,111,311,174,11,2.03,1.37,0.357,4,0,16,0.5,0.0,0.875
Cam Thomas,BKN,8,4,4,259,215,439,242,32,4.34,4.01,0.49,4,0,2,0.75,0.0,2.0
Cam Whitmore,HOU,3,2,1,23,7,31,14,2,3.96,3.42,0.226,0,0,0,0.0,0.0,0.0
Cameron Johnson,BKN,9,4,5,266,134,404,274,16,2.36,1.8,0.332,5,0,14,0.4,0.0,0.714
Cameron Payne,MIL,17,12,5,295,104,589,223,44,4.45,3.95,0.177,3,0,3,0.667,0.0,0.667
Caris LeVert,CLE,14,7,7,430,223,696,388,46,3.97,3.52,0.32,12,0,10,0.333,0.0,0.6
Cason Wallace,OKC,15,10,5,332,97,275,161,10,2.24,1.72,0.353,6,0,29,0.667,0.0,1.034
Cedi Osman,SAS,17,3,14,326,142,438,250,14,1.96,1.35,0.324,2,0,9,1.0,0.0,0.778
Charles Bassey,SAS,17,3,14,181,55,319,141,8,1.45,0.38,0.172,19,0,39,0.789,0.0,1.0
Chet Holmgren,OKC,15,10,5,451,276,865,470,28,1.94,1.02,0.319,39,2,70,0.513,2.0,1.129
Chimezie Metu,PHX,9,7,2,59,23,74,45,3,2.12,1.2,0.311,2,1,3,0.0,0.0,0.667
Chris Boucher,TOR,14,5,9,219,91,247,145,7,1.6,0.55,0.368,10,3,44,1.0,0.333,0.886
Chris Duarte,SAC,14,8,6,218,65,287,189,10,2.02,1.32,0.226,2,0,6,0.0,0.0,0.0
Chris Livingston,MIL,2,0,2,9,5,8,5,0,2.13,1.25,0.625,0,0,0,0.0,0.0,0.0
Chris Paul,GSW,15,8,7,424,134,996,405,81,4.88,4.4,0.135,16,6,8,0.063,0.667,0.0
Christian Braun,DEN,16,10,6,346,143,491,266,23,2.82,1.98,0.291,12,0,30,0.333,0.0,0.667
Christian Wood,LAL,18,10,8,368,127,481,237,14,1.79,0.79,0.264,13,6,25,1.0,0.333,1.16
Chuma Okeke,ORL,6,4,2,25,11,36,20,1,2.13,1.42,0.306,1,0,1,0.0,0.0,2.0
Clint Capela,ATL,15,7,8,364,160,442,313,9,1.27,0.27,0.362,34,7,145,0.588,0.857,0.966
Coby White,CHI,17,5,12,552,231,1067,414,66,3.74,3.25,0.216,2,1,2,0.0,0.0,0.0
Cody Zeller,NOP,14,6,8,129,24,217,130,6,1.58,0.59,0.111,24,0,29,0.292,0.0,0.379
Colby Jones,SAC,8,3,5,69,27,120,64,7,3.57,3.07,0.225,2,0,3,1.0,0.0,0.0
Cole Anthony,ORL,16,12,4,418,248,953,402,72,4.54,3.92,0.26,4,1,16,1.5,0.0,0.813
Cole Swider,MIA,3,0,3,29,16,41,29,1,1.57,0.95,0.39,0,0,0,0.0,0.0,0.0
Colin Castleton,LAL,2,0,2,18,4,27,16,1,2.11,1.11,0.148,1,0,3,0.0,0.0,0.667
Collin Gillespie,DEN,7,4,3,51,12,93,42,6,4.02,3.47,0.129,2,0,1,0.0,0.0,0.0
Collin Sexton,UTA,17,6,11,338,203,605,329,40,3.98,3.62,0.336,11,0,25,1.091,0.0,0.84
Corey Kispert,WAS,16,3,13,369,168,487,305,16,1.93,1.23,0.345,1,0,10,0.0,0.0,1.0
Cory Joseph,GSW,6,1,5,42,12,101,43,6,3.46,3.44,0.119,2,0,0,0.0,0.0,0.0
Craig Porter Jr.,CLE,11,6,5,171,91,360,140,32,5.25,5.01,0.253,4,0,5,1.0,0.0,0.4
D'Angelo Russell,LAL,18,10,8,556,300,1171,493,80,4.07,3.56,0.256,8,4,11,0.5,0.5,1.091
D'Moi Hodge,LAL,4,0,4,24,6,26,15,1,2.14,1.46,0.231,0,0,0,0.0,0.0,0.0
DaQuan Jeffries,NYK,6,4,2,18,7,18,14,0,1.49,0.94,0.389,0,0,0,0.0,0.0,0.0
Daishen Nix,MIN,4,3,1,9,5,14,6,1,5.02,3.86,0.357,0,0,0,0.0,0.0,0.0
Dalano Banton,BOS,7,6,1,55,23,96,32,5,3.2,2.58,0.24,0,0,8,0.0,0.0,1.25
Dalen Terry,CHI,3,1,2,8,5,20,7,2,5.05,5.25,0.25,0,0,0,0.0,0.0,0.0
Damian Jones,CLE,10,6,4,51,9,67,36,2,1.4,0.31,0.134,7,2,14,0.143,0.0,0.429
Damian Lillard,MIL,15,12,3,512,384,1164,428,107,5.52,5.03,0.33,8,0,12,0.0,0.0,0.667
Daniel Gafford,WAS,15,3,12,373,145,579,297,13,1.35,0.28,0.25,31,8,100,0.645,0.375,0.93
Daniel Theis,LAC,7,5,2,110,43,98,66,2,1.2,0.29,0.439,8,1,24,1.0,0.0,0.75
Danilo Gallinari,WAS,15,3,12,234,123,445,275,15,2.05,0.69,0.276,14,10,23,0.571,1.0,1.0
Danny Green,PHI,2,1,1,18,0,16,5,1,1.71,0.19,0.0,0,0,1,0.0,0.0,0.0
Dante Exum,DAL,14,9,5,147,60,303,108,20,3.88,3.49,0.198,4,0,10,1.75,0.0,0.5
Danuel House Jr.,PHI,10,6,4,127,38,164,77,6,2.03,0.96,0.232,3,0,12,0.0,0.0,0.5
Dario Saric,GSW,15,8,7,319,167,668,427,19,1.7,0.93,0.25,36,20,63,0.5,0.5,0.492
Dariq Whitehead,BKN,1,1,0,3,1,2,1,0,1.76,1.0,0.5,0,0,0,0.0,0.0,0.0
Darius Garland,CLE,12,7,5,392,233,859,335,80,5.57,5.53,0.271,3,0,6,0.667,0.0,0.333
David Roddy,MEM,16,3,13,372,126,412,218,15,2.21,1.46,0.306,7,2,22,1.143,0.0,1.136
Davion Mitchell,SAC,11,5,6,187,42,398,155,31,4.63,4.58,0.106,0,0,1,0.0,0.0,0.0
Davis Bertans,OKC,5,4,1,46,17,41,26,1,1.13,0.29,0.415,0,0,0,0.0,0.0,0.0
Day'Ron Sharpe,BKN,16,8,8,241,105,365,200,10,1.55,0.48,0.288,26,7,86,0.731,0.857,0.953
De'Aaron Fox,SAC,10,7,3,356,299,844,304,67,4.77,4.38,0.354,5,1,10,0.0,0.0,0.7
De'Andre Hunter,ATL,15,7,8,465,218,616,358,19,1.85,1.05,0.354,9,11,20,0.667,1.091,1.0
De'Anthony Melton,PHI,17,12,5,507,206,904,377,43,2.86,2.12,0.228,11,0,22,0.455,0.0,0.455
DeAndre Jordan,DEN,2,2,0,46,27,73,49,2,1.25,0.13,0.37,10,0,15,0.3,0.0,1.333
DeMar DeRozan,CHI,16,5,11,574,348,939,534,68,4.35,3.82,0.371,19,20,13,0.526,0.55,0.462
Dean Wade,CLE,13,7,6,264,40,271,146,6,1.37,0.37,0.148,3,0,11,0.667,0.0,0.182
Deandre Ayton,POR,15,4,11,468,195,715,352,20,1.65,0.5,0.273,75,38,121,0.707,0.474,0.893
Dejounte Murray,ATL,15,7,8,516,304,1075,463,76,4.24,3.89,0.283,10,0,21,0.2,0.0,0.571
Delon Wright,WAS,8,2,6,141,40,304,100,24,4.76,4.46,0.132,1,0,3,0.0,0.0,0.0
Deni Avdija,WAS,17,3,14,458,205,806,349,38,2.82,2.22,0.254,12,6,29,0.833,0.5,0.931
Dennis Schroder,TOR,16,7,9,499,267,1282,536,99,4.63,4.33,0.208,4,3,7,0.5,0.0,0.286
Dennis Smith Jr.,BKN,11,5,6,187,64,359,141,24,4.04,3.73,0.178,1,0,6,0.0,0.0,1.0
Dereck Lively II,DAL,14,10,4,337,114,473,242,11,1.33,0.19,0.241,27,3,113,0.407,1.333,0.947
Dereon Seabron,NOP,5,2,3,52,14,82,31,5,3.27,2.97,0.171,1,0,1,0.0,0.0,2.0
Derrick Jones Jr.,DAL,15,10,5,317,117,338,188,9,1.63,0.92,0.346,9,0,21,0.778,0.0,0.571
Derrick Rose,MEM,8,1,7,142,77,298,110,28,5.53,5.47,0.258,2,0,8,0.0,0.0,0.5
Derrick White,BOS,14,12,2,454,194,780,244,56,4.27,3.97,0.249,7,1,14,1.0,2.0,0.571
Desmond Bane,MEM,16,3,13,546,378,1226,654,76,3.72,2.81,0.308,21,1,19,0.429,0.0,0.737
Devin Booker,PHX,9,8,1,306,265,729,344,67,5.55,4.87,0.364,11,9,10,0.909,1.222,0.8
Devin Vassell,SAS,12,3,9,340,217,559,362,26,2.8,1.86,0.388,4,0,2,0.5,0.0,0.0
Devonte' Graham,SAS,3,0,3,36,8,68,30,5,4.09,3.46,0.118,0,0,0,0.0,0.0,0.0
Dillon Brooks,HOU,14,8,6,437,188,481,282,18,2.3,1.45,0.391,12,12,21,0.75,0.667,0.952
Domantas Sabonis,SAC,14,8,6,488,271,1269,769,53,2.5,1.64,0.214,135,35,129,0.496,0.486,0.853
Dominick Barlow,SAS,6,0,6,32,6,38,21,1,2.05,1.16,0.158,1,1,2,0.0,2.0,1.0
Donovan Mitchell,CLE,12,6,6,431,324,911,378,75,4.95,4.73,0.356,6,0,12,1.0,0.0,1.25
Donte DiVincenzo,NYK,16,9,7,325,135,502,278,19,2.24,1.65,0.269,4,1,16,1.0,0.0,0.5
Dorian Finney-Smith,BKN,16,8,8,500,179,670,411,18,1.59,0.6,0.267,12,1,30,0.167,0.0,0.533
Doug McDermott,SAS,17,3,14,283,108,350,251,9,1.52,0.58,0.309,4,0,9,0.0,0.0,0.667
Draymond Green,GSW,9,5,4,200,79,468,269,16,2.02,0.95,0.169,22,13,26,0.591,0.0,0.654
Drew Eubanks,PHX,16,10,6,289,117,461,290,13,1.74,0.63,0.254,44,3,70,0.886,0.0,0.943
Dru Smith,MIA,9,7,2,131,39,237,86,15,3.9,3.66,0.165,0,0,6,0.0,0.0,1.333
Duncan Robinson,MIA,15,10,5,441,218,615,475,21,2.07,1.21,0.354,5,0,19,1.6,0.0,0.737
Duop Reath,POR,9,2,7,121,56,176,113,4,1.44,0.4,0.318,9,1,9,0.667,2.0,0.889
Dwight Powell,DAL,14,9,5,211,66,264,158,6,1.42,0.39,0.25,22,1,50,0.318,2.0,0.82
Dylan Windler,NYK,3,2,1,7,3,12,11,0,0.87,0.5,0.25,0,0,1,0.0,0.0,0.0
Dyson Daniels,NOP,18,9,9,506,142,1000,420,53,3.2,2.69,0.142,11,1,35,0.545,0.0,0.657
E.J. Liddell,NOP,3,1,2,9,4,18,11,1,1.96,1.22,0.222,0,0,0,0.0,0.0,0.0
Emoni Bates,CLE,7,4,3,52,12,54,29,2,2.44,1.78,0.222,0,0,2,0.0,0.0,0.0
Eric Gordon,PHX,16,11,5,502,239,867,408,52,3.59,3.02,0.276,5,0,14,0.8,0.0,0.857
Eugene Omoruyi,WAS,10,2,8,65,53,103,60,3,1.88,0.94,0.515,4,0,14,1.0,0.0,1.643
Evan Fournier,NYK,1,1,0,16,2,15,10,1,2.55,2.13,0.133,0,0,0,0.0,0.0,0.0
Evan Mobley,CLE,17,9,8,565,277,1084,595,34,1.88,0.75,0.256,76,16,165,0.434,0.313,0.994
Filip Petrusev,SAC,3,2,1,9,3,11,10,0,1.61,0.45,0.273,2,0,1,1.0,0.0,1.0
Franz Wagner,ORL,16,12,4,529,320,902,546,49,3.27,2.59,0.355,17,6,34,0.471,0.667,1.0
Fred VanVleet,HOU,14,8,6,524,232,1142,449,97,5.09,4.75,0.203,8,0,3,0.0,0.0,0.667
Furkan Korkmaz,PHI,12,9,3,86,31,124,75,7,3.29,2.87,0.25,2,0,2,0.0,0.0,0.0
GG Jackson,MEM,3,0,3,7,0,12,4,1,2.47,1.66,0.0,0,0,1,0.0,0.0,0.0
Gabe Vincent,LAL,4,2,2,113,24,131,64,7,3.22,2.55,0.183,2,0,0,0.0,0.0,0.0
Garrett Temple,TOR,5,1,4,16,11,27,16,1,2.76,2.37,0.407,0,0,2,0.0,0.0,1.0
Garrison Mathews,ATL,4,3,1,24,9,32,17,1,1.37,0.25,0.281,0,0,1,0.0,0.0,0.0
Gary Harris,ORL,12,10,2,250,98,232,171,7,1.71,1.13,0.422,2,0,3,1.0,0.0,0.667
Gary Payton II,GSW,12,7,5,217,75,295,179,8,1.69,0.76,0.254,7,2,37,0.286,0.0,0.541
Gary Trent Jr.,TOR,13,6,7,340,139,402,339,15,2.26,1.61,0.346,4,0,8,1.0,0.0,0.25
Georges Niang,CLE,17,9,8,386,135,607,317,15,1.47,0.59,0.222,7,1,6,0.286,0.0,0.667
Giannis Antetokounmpo,MIL,16,11,5,537,478,1257,635,75,3.57,2.61,0.38,62,30,88,0.532,0.333,1.08
Goga Bitadze,ORL,14,10,4,275,94,438,271,12,1.7,0.67,0.215,21,5,80,0.333,0.6,1.0
Gordon Hayward,CHA,14,5,9,457,195,744,533,34,2.73,1.83,0.262,24,13,31,0.583,0.846,0.742
Gradey Dick,TOR,14,6,8,214,58,215,172,6,1.7,0.97,0.27,2,0,6,0.0,0.0,0.667
Grant Williams,DAL,15,10,5,444,160,474,289,12,1.45,0.5,0.338,9,3,20,0.222,0.0,0.75
Grayson Allen,PHX,16,10,6,520,191,841,384,42,3.01,2.22,0.227,6,0,13,0.667,0.0,0.462
Gui Santos,GSW,1,0,1,8,2,5,2,0,2.38,1.4,0.4,0,0,0,0.0,0.0,0.0
Harrison Barnes,SAC,14,8,6,437,177,548,358,17,1.88,1.02,0.323,8,7,21,0.125,0.286,0.429
Harry Giles III,BKN,2,0,2,12,12,22,9,1,2.03,0.23,0.545,1,0,0,2.0,0.0,0.0
Haywood Highsmith,MIA,13,9,4,316,95,409,220,13,1.91,1.23,0.232,6,3,22,0.333,0.0,0.455
Herbert Jones,NOP,15,9,6,462,172,716,359,32,2.64,1.62,0.24,7,0,21,1.429,0.0,0.905
Hunter Tyson,DEN,5,3,2,13,2,15,8,1,2.82,1.33,0.133,1,0,1,0.0,0.0,0.0
Immanuel Quickley,NYK,16,9,7,401,254,714,391,56,4.69,4.26,0.356,4,1,6,0.0,0.0,1.0
Isaac Okoro,CLE,8,3,5,201,64,191,129,8,2.35,1.8,0.335,3,0,13,0.667,0.0,0.462
Isaiah Hartenstein,NYK,16,9,7,276,93,391,220,9,1.45,0.45,0.238,26,3,67,0.308,0.333,0.866
Isaiah Jackson,IND,9,6,3,126,46,135,85,3,1.12,0.36,0.341,11,3,41,0.182,0.0,0.878
Isaiah Joe,OKC,15,10,5,303,154,415,262,12,1.76,0.94,0.371,3,0,3,0.667,0.0,0.667
Isaiah Livers,DET,3,0,3,72,22,89,58,3,1.75,0.94,0.247,1,0,3,0.0,0.0,0.667
Isaiah Mobley,CLE,2,0,2,10,2,18,10,1,2.45,1.45,0.111,3,0,2,0.667,0.0,1.0
Isaiah Stewart,DET,17,2,15,538,195,667,413,18,1.58,0.72,0.292,24,26,93,0.5,0.269,0.785
Ish Smith,CHA,9,2,7,147,31,259,88,19,4.41,4.54,0.12,1,0,4,2.0,0.0,1.0
Ish Wainright,POR,2,0,2,5,0,8,6,0,1.16,0.88,0.0,0,0,0,0.0,0.0,0.0
Ivica Zubac,LAC,16,7,9,410,180,631,299,13,1.2,0.25,0.285,64,17,142,0.609,0.765,0.986
JT Thor,CHA,15,5,10,251,62,333,159,8,1.37,0.47,0.186,7,0,19,1.143,0.0,0.632
JaVale McGee,SAC,13,7,6,134,80,215,131,5,1.43,0.32,0.372,30,5,52,0.6,1.0,1.115
Jabari Smith Jr.,HOU,14,8,6,415,185,596,262,18,1.82,0.93,0.31,21,15,53,0.619,0.733,0.868
Jabari Walker,POR,16,5,11,267,121,366,204,11,1.84,0.96,0.331,13,0,32,0.615,0.0,0.813
Jacob Gilyard,MEM,13,3,10,229,55,488,190,37,4.51,4.29,0.113,1,0,0,0.0,0.0,0.0
Jaden Hardy,DAL,12,8,4,130,79,228,99,15,3.97,3.84,0.346,1,0,3,0.0,0.0,0.667
Jaden Ivey,DET,13,2,11,308,165,498,282,28,3.31,3.05,0.331,11,0,12,0.545,0.0,0.917
Jaden McDaniels,MIN,11,9,2,260,105,283,182,10,2.17,1.44,0.371,3,1,9,2.0,2.0,0.444
Jaden Springer,PHI,11,7,4,127,35,132,92,6,2.71,1.99,0.265,5,0,14,0.0,0.0,0.571
Jae Crowder,MIL,9,5,4,240,73,324,145,7,1.36,0.41,0.225,3,0,11,0.667,0.0,0.727
Jae'Sean Tate,HOU,14,8,6,271,86,340,162,15,2.58,1.76,0.253,3,7,16,0.0,0.714,0.625
Jaime Jaquez Jr.,MIA,17,10,7,439,190,666,387,28,2.47,1.88,0.285,14,18,54,0.286,0.5,0.778
Jake LaRavia,MEM,5,0,5,61,17,70,37,2,2.05,1.34,0.243,1,1,4,0.0,0.0,0.75
Jakob Poeltl,TOR,16,7,9,430,188,746,390,17,1.38,0.23,0.252,122,15,146,0.484,0.4,0.911
Jalen Brunson,NYK,16,9,7,565,398,1398,510,129,5.55,5.27,0.285,4,5,8,0.5,0.0,0.75
Jalen Duren,DET,10,2,8,293,126,546,288,15,1.61,0.69,0.231,57,3,94,0.456,0.667,0.894
Jalen Green,HOU,14,8,6,443,275,828,389,60,4.31,3.72,0.332,11,0,16,0.909,0.0,0.875
Jalen Hood-Schifino,LAL,1,0,1,11,0,27,10,2,5.04,4.67,0.0,1,0,1,0.0,0.0,0.0
Jalen Johnson,ATL,14,7,7,418,193,768,330,23,1.82,0.75,0.251,13,6,44,1.231,1.333,1.068
Jalen McDaniels,TOR,12,4,8,109,25,183,108,5,1.7,0.88,0.137,3,0,9,0.667,0.0,0.222
Jalen Pickett,DEN,9,5,4,69,22,141,58,11,4.55,4.24,0.156,1,0,1,0.0,0.0,0.0
Jalen Slawson,SAC,3,2,1,16,4,25,13,1,1.48,0.72,0.16,0,0,3,0.0,0.0,0.667
Jalen Smith,IND,14,8,6,216,140,289,185,8,1.56,0.5,0.484,15,8,60,1.2,0.5,1.267
Jalen Suggs,ORL,15,11,4,403,178,647,290,32,2.98,2.47,0.275,2,0,16,1.0,0.0,0.875
Jalen Williams,OKC,12,8,4,402,212,668,309,40,3.57,3.18,0.317,8,0,26,0.75,0.0,1.0
Jalen Wilson,BKN,2,1,1,7,0,2,1,0,1.68,1.0,0.0,0,0,0,0.0,0.0,0.0
Jamal Cain,MIA,4,1,3,59,15,71,35,2,1.33,0.51,0.211,2,0,7,0.0,0.0,0.857
Jamal Murray,DEN,6,5,1,206,112,461,228,40,5.2,4.79,0.243,10,3,10,0.8,0.667,1.2
Jamaree Bouyea,POR,6,0,6,57,10,140,49,13,5.42,4.97,0.071,0,0,2,0.0,0.0,1.0
James Harden,LAC,11,4,7,361,155,715,289,57,4.79,3.94,0.217,16,0,3,0.25,0.0,1.0
James Wiseman,DET,9,0,9,99,50,186,89,4,1.42,0.44,0.269,12,7,29,0.083,0.857,1.31
Jarace Walker,IND,4,2,2,40,17,67,39,2,1.64,0.81,0.254,2,1,4,0.0,0.0,0.0
Jared Butler,WAS,6,1,5,31,16,61,13,5,5.17,4.97,0.262,0,0,1,0.0,0.0,2.0
Jared Rhoden,DET,5,0,5,30,13,45,31,1,1.84,1.04,0.289,0,0,2,0.0,0.0,2.0
Jaren Jackson Jr.,MEM,16,3,13,501,311,774,489,33,2.56,1.71,0.402,29,43,52,1.034,0.651,1.058
Jarrett Allen,CLE,12,7,5,339,165,458,327,12,1.54,0.33,0.36,48,10,110,0.5,0.7,1.018
Jaxson Hayes,LAL,16,10,6,184,56,212,105,5,1.37,0.37,0.264,12,0,32,0.5,0.0,0.969
Jay Huff,DEN,2,2,0,2,2,4,3,0,1.91,0.25,0.5,1,0,1,0.0,0.0,2.0
Jaylen Brown,BOS,16,12,4,551,342,824,452,53,3.88,3.44,0.415,13,17,21,0.385,0.706,1.143
Jaylen Nowell,MEM,2,0,2,15,4,19,12,1,2.25,2.11,0.211,0,0,0,0.0,0.0,0.0
Jaylin Williams,OKC,10,7,3,151,41,309,158,7,1.32,0.22,0.133,19,0,13,0.211,0.0,0.462
Jayson Tatum,BOS,17,13,4,631,478,1295,690,82,3.78,2.75,0.369,16,37,26,0.938,1.0,1.0
Jeff Green,HOU,14,8,6,201,83,241,158,7,1.73,0.55,0.344,19,4,28,0.579,1.0,0.929
Jerami Grant,POR,16,5,11,564,360,895,569,44,2.96,1.93,0.402,23,23,26,0.652,0.565,0.923
Jeremiah Robinson-Earl,NOP,7,3,4,98,38,135,74,3,1.38,0.61,0.281,4,1,8,0.0,0.0,0.25
Jeremy Sochan,SAS,17,3,14,484,176,1111,373,77,4.15,3.75,0.158,11,20,50,0.455,0.4,0.7
Jericho Sims,NYK,7,4,3,21,5,51,33,2,1.76,0.78,0.098,3,0,7,0.0,0.0,0.714
Jermaine Samuels Jr.,HOU,3,2,1,20,6,21,10,1,2.13,0.9,0.286,2,0,0,0.0,0.0,0.0
